,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,56.65614443698617,18.967838282196645,894.3134144110916,4.083711965202866,0.6241732659913635,0.0,0.0,0.0,5.542036012678885,5.826103757827832,0.21365029850845477,0.23484026545449324,45.98961535553274,1.0174485652727217,1.5648450331398283
1,Iteration 2,61.14488975098945,20.108528662647007,1006.5737622618892,3.8129458120691346,0.5962643824228583,0.0,0.0,0.0,5.960230268386752,6.318135578851928,0.23866548400645698,0.26842977047286204,48.17569108379819,1.8025179720442226,1.5931178491250186
2,Iteration 3,64.04629005033489,19.40251641911333,988.2911879587426,3.6976457784475762,0.6070568439792625,0.0,0.0,0.0,6.2874889510025165,6.680517405210801,0.25928569812746605,0.2948119148102626,49.756237453842175,2.3239527404154874,1.6136142306991046
3,Iteration 4,64.28033442782345,20.725787318835355,1023.8292301190762,3.6973990943235586,0.5898396402554548,0.0,0.0,0.0,6.260183121121993,6.664890119125933,0.2577630151240332,0.2941700462456621,49.717129633487026,2.615370297456578,1.6138450587889182
4,Iteration 5,63.24236831274001,20.555874765162557,1046.22645980319,4.266774645197023,0.582800416153486,0.0,0.0,0.0,6.17681127625123,6.563404158502919,0.2522562379276522,0.2862562121751016,49.25535033090827,2.165166813697845,1.6113801312519513
5,Iteration 6,57.87811079180828,17.95904936275757,942.5949136812505,3.7548501724564827,0.6055545726224008,0.0,0.0,0.0,5.625309488728535,5.935638793553236,0.21863643959368734,0.24231958760363997,46.495852012602725,1.2690966869364348,1.5656505129914873
6,Iteration 7,57.99834775691938,18.377997573655136,1036.2287029501172,3.8572590562770923,0.6293721904923724,0.0,0.0,0.0,5.698411220234349,6.000278920504775,0.22263714544816862,0.24604867698543623,46.74181117295832,1.2418876168203492,1.580013104390746
7,Iteration 8,55.41107593025401,19.945804229216705,1053.1260968672332,4.310107048135243,0.6157998355948455,0.0,0.0,0.0,5.388001485281972,5.656414756005635,0.20507060554570894,0.22435333140068642,45.26245579682011,0.839292335351149,1.549506580229827
8,Iteration 9,56.39640945867489,20.890560583840422,960.1362990795066,3.70803175676292,0.623273892026196,0.0,0.0,0.0,5.482708603013386,5.767476465932036,0.2104070352163383,0.2313614949763061,45.75227870840142,1.0224086488458932,1.557868820471051
9,Iteration 10,59.805947557560046,20.733333855621826,1043.017323705346,3.8684743332612834,0.5703125456284638,0.0,0.0,0.0,5.7519052134541395,6.102288363459592,0.22638044941991187,0.25408913983779785,47.27000197275093,1.7258476841480088,1.576419885475819
10,Iteration 11,59.842700101547585,20.59385388589526,1012.8404565590632,3.6791375590050244,0.6270098984098105,0.0,0.0,0.0,5.883206652221512,6.212454794050927,0.2336798211748432,0.26045902035572177,47.67510022899368,1.5130687061741717,1.5936417683613453
11,Iteration 12,65.79671677143872,20.483242674881776,1027.5381265790234,4.21582039218729,0.6436079988107525,0.0,0.0,0.0,6.595137059904375,6.987224053258781,0.279173797004756,0.3173637095136098,51.03574193163412,2.3061688507522615,1.633049338418252
12,Iteration 13,63.77757676850944,21.133389294479905,914.693654823294,3.9389287903126444,0.5679275291172946,0.0,0.0,0.0,6.163996991940818,6.569698206572626,0.2517863051317415,0.28745682040588194,49.32432310874118,2.5807684225901597,1.6115306601742012
13,Iteration 14,59.342951213167,20.49481620172235,1072.5300916740418,4.3053917456183495,0.611916024847219,0.0,0.0,0.0,5.8323332974104645,6.1541119705518685,0.2306019788770155,0.2564351515521985,47.418394493486055,1.392188487852416,1.5854207950186179
14,Iteration 15,58.957739947350625,19.105999451369605,945.6658914578644,3.8939123886175047,0.6193518922613418,0.0,0.0,0.0,5.784239271165027,6.102350518064484,0.22777221053920202,0.2530052492168089,47.197160222351954,1.3282622908954735,1.584030895800353
15,Iteration 16,58.936148750715766,21.191845731794622,974.3827848085408,4.16231843593293,0.6351860486246692,0.0,0.0,0.0,5.827941760811167,6.137225350730472,0.23016348390151717,0.2549271051596622,47.321098382859425,1.1256043791822523,1.5868372993066344
16,Iteration 17,60.49793807935601,20.169284932656314,929.3192509905996,3.9027572037884646,0.6274917243839246,0.0,0.0,0.0,5.97178455275793,6.306986353182115,0.23900084060905183,0.26686748590326337,48.07844352825078,1.606917477738521,1.5960265193853362
17,Iteration 18,64.36213149210549,19.85974495013476,903.2483313763591,3.9840946094480363,0.5987418096360951,0.0,0.0,0.0,6.316087554087536,6.713702090135827,0.26117097450626453,0.2973873175918729,49.90464537256129,2.3555366448232933,1.615642636775835
18,Iteration 19,60.03713862324698,22.084637207034458,1009.2505052982387,3.9995118173743234,0.6198011280289646,0.0,0.0,0.0,5.903507828164026,6.234876335750323,0.2349058322903902,0.2619999616941312,47.773072634582206,1.4488812151670154,1.586272967164052
19,Iteration 20,59.828285082686776,20.63887269925407,1086.7859399166543,4.190038370893715,0.5555026316144064,0.0,0.0,0.0,5.739001915387983,6.092289693006992,0.2256836458385025,0.25354999099986597,47.23573648479558,1.7463227328906636,1.578160106763621
20,Iteration 21,56.69092963774511,20.81444222796977,975.7692517682949,3.9018103835721467,0.6340760464667414,0.0,0.0,0.0,5.552004171245221,5.8349913448472055,0.21418381937780137,0.23534168008441644,46.0237717541121,0.9550795942730366,1.5683284160382853
