,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,58.34321609732332,19.091034925374174,1018.0265454545953,3.9696268989739867,0.630202383293971,0.0,0.0,0.0,5.744250299830266,6.049315478305121,0.22528637096957654,0.24921479694973175,46.94991966342963,1.2112218179474425,1.5837095525907063
1,Iteration 2,59.32129787054931,19.95655782941028,870.4463990425052,3.866863678531543,0.5726365218716953,0.0,0.0,0.0,5.706577405618225,6.049284219401194,0.2236795964354986,0.25046271852710733,47.034870920135255,1.601099454065524,1.5744680698515934
2,Iteration 3,62.315652334337216,19.07698971230591,976.6418365785395,4.132289919372414,0.5921541336306722,0.0,0.0,0.0,6.0997420942432425,6.471134689976441,0.2472769790141074,0.27926790218245545,48.83838323020971,1.912280126486965,1.6032472641878475
3,Iteration 4,57.08758185633735,21.163738972827126,1011.865234039652,3.800885812402362,0.5953221731206776,0.0,0.0,0.0,5.505138664750245,5.808562725843505,0.21188057517947184,0.23438002385260148,45.961889875506564,1.235376164085364,1.564865419205649
4,Iteration 5,59.187297090909716,18.885023108292728,1015.6690386143503,4.213070073971254,0.6048435077516875,0.0,0.0,0.0,5.797440840584717,6.120749773055219,0.22860480130333072,0.2543489187960378,47.28414519973806,1.379539010911346,1.5852407781433282
5,Iteration 6,61.40377551324771,18.870353915328558,937.4747950708808,4.032356839346268,0.5880810449734813,0.0,0.0,0.0,5.986001309026974,6.348216410820162,0.2402706546141332,0.2705950368821479,48.30945487147796,1.8639408893324987,1.5954887854750357
6,Iteration 7,59.69517660245358,21.23296216132446,1039.4475947020558,4.2959605368972476,0.614719082662136,0.0,0.0,0.0,5.875190942112465,6.200725709429837,0.23315240445200502,0.2595691962938359,47.61868603862967,1.3902565155185465,1.5915633599746215
7,Iteration 8,63.097205862971116,20.864741093328057,946.4400389584068,3.708140391846891,0.5624503336222373,0.0,0.0,0.0,6.062927356219662,6.465087779098255,0.24554151374951314,0.2800362889014619,48.88323651642763,2.413640072383084,1.5944597873259965
8,Iteration 9,59.399102112898596,19.742485347148218,1009.8726776336433,3.7250589993791845,0.5610868666888816,0.0,0.0,0.0,5.677011666175061,6.027434796544909,0.2221126849623574,0.24933842893390198,46.962798640272204,1.7123841949643273,1.5746746808820726
9,Iteration 10,62.7029042515627,20.19454205827,924.484457932765,3.8851339300204923,0.5960376436319045,0.0,0.0,0.0,6.128895715475622,6.507039234366641,0.24916857577601678,0.28200276518495615,49.0025361012424,2.106978388040461,1.6038818081005142
10,Iteration 11,58.863530681308994,20.31825777483966,989.4230103924788,3.896131040729998,0.6124424453861914,0.0,0.0,0.0,5.7542149378894925,6.073888458493776,0.22606905998964597,0.2512541345318229,47.08404064831195,1.3863641568783094,1.5825395932389759
11,Iteration 12,62.60967119841276,20.25105082469702,995.9078628248442,3.8764034369137867,0.5859040890326404,0.0,0.0,0.0,6.091955355426241,6.473606722431282,0.24697345504256663,0.27983723829073226,48.87225761708342,2.0277473244408175,1.6035623580014227
12,Iteration 13,60.043872223022376,20.045864785097642,1023.5926901757323,3.809431711295363,0.5651024109290614,0.0,0.0,0.0,5.7618788127206555,6.11855898022955,0.22705014408024005,0.2553472126310882,47.35125986882758,1.780082359636143,1.5798556600215874
13,Iteration 14,65.40014548178745,19.863307136446945,1034.4624732316975,3.7703782184146544,0.5815918855803532,0.0,0.0,0.0,6.358762225007726,6.781544102618823,0.2643360605790008,0.3033843300479336,50.242632562334656,2.7519368052180813,1.6185060690061008
14,Iteration 15,61.67905437909992,19.881095916435008,1045.9952564574835,4.08426319566117,0.5988240457322396,0.0,0.0,0.0,6.04342731087334,6.404018097314226,0.24368797828038727,0.27428818372279473,48.536493612902724,1.844252751917202,1.603588133871519
15,Iteration 16,62.56570131498391,21.455792606618985,1050.2220171818924,4.143661537369227,0.5866841627116546,0.0,0.0,0.0,6.104613635620342,6.482030781776042,0.24767667762950754,0.28025912386348306,48.89822349119193,2.115972447622005,1.604969144263168
16,Iteration 17,56.0887417673287,20.465423755680806,993.9165242700273,4.19656914086876,0.5531009344611605,0.0,0.0,0.0,5.3193900666448375,5.620966066202346,0.20181528092554665,0.2232315372060544,45.1921397268184,1.223490293127898,1.546639842205591
17,Iteration 18,64.2147922252302,19.987564906110425,937.7315047226846,3.8831236673493903,0.616231092347492,0.0,0.0,0.0,6.339797926595222,6.728505835241594,0.2625143491860585,0.2980773887835772,49.946267727117466,2.200348782952129,1.61649967096091
18,Iteration 19,56.79783738265546,18.59827101546214,953.2247912079674,4.0298356806417255,0.6305244793079359,0.0,0.0,0.0,5.570563660991199,5.854690772751797,0.2152248648018591,0.2365602630084448,46.10623680591072,1.018515074006684,1.5681082520315375
19,Iteration 20,61.56175149511769,19.473536644435523,1026.3410489070538,4.2349790580408,0.5548703413016007,0.0,0.0,0.0,5.9280793098433415,6.305176481839456,0.23705741361989216,0.2682648748599932,48.1658732460201,1.9978449609876874,1.5880431760601554
20,Iteration 21,57.666111086058756,21.257005705090492,1013.3853924465982,4.014312441069801,0.570114639682869,0.0,0.0,0.0,5.524294867880114,5.843333158717385,0.2131392568979224,0.23695357831518526,46.138850839837765,1.3815451765869011,1.561587941294953
21,Iteration 22,62.855443795306236,20.32428554324232,1048.7555117647273,4.30910427039757,0.6351697990411096,0.0,0.0,0.0,6.272433221306594,6.6301242786043275,0.25772005808693543,0.2897805313180638,49.467914885344804,1.7571480446336027,1.6152555834885192
22,Iteration 23,60.09890040567814,20.882622329844676,1013.6968060237859,3.7292087367707167,0.6092426547837989,0.0,0.0,0.0,5.871143001538858,6.210520296093165,0.2331295638652611,0.2606927120009572,47.69039238463936,1.5655369101128933,1.584970220293264
23,Iteration 24,58.12057049793195,19.424014060873198,933.4348614424142,4.1218086773983815,0.6050785655121184,0.0,0.0,0.0,5.669826590658198,5.9799587121786715,0.2211361155741753,0.24505621612334302,46.67739980319115,1.1482852082901034,1.5671072769584982
24,Iteration 25,63.608358267152234,20.668582752169208,1020.1842012926663,4.289194444275392,0.5737947267989062,0.0,0.0,0.0,6.191276502759937,6.586850920761474,0.25331060710462855,0.28826794667392147,49.373299279854756,2.3500922691865442,1.6124122971892185
25,Iteration 26,61.46759648391158,20.939191211397148,931.4398343082723,3.9430993920554207,0.5539967634296408,0.0,0.0,0.0,5.888680146561503,6.269043141305344,0.23478088339663117,0.2659832387950788,48.02467765727439,2.006507821683851,1.5867525693962843
26,Iteration 27,62.43286908977515,20.259495195418967,907.0276102719733,4.34129910222498,0.5967632059654452,0.0,0.0,0.0,6.1336505762517275,6.5022424828797964,0.24930696367402372,0.2813073967762568,48.96175931956954,1.9628100161145943,1.6079795497619955
27,Iteration 28,57.950791463149784,19.673227045986284,1068.7982960998504,4.008556847702327,0.5955600899461454,0.0,0.0,0.0,5.621436163700926,5.934076807886887,0.2184530387002657,0.24230236082927883,46.49537648253293,1.2497727784195811,1.5700420822738756
28,Iteration 29,62.035300141601724,19.55955410628601,1064.3813058879157,3.6859081225932897,0.6493400455103707,0.0,0.0,0.0,6.180566530272302,6.52888069434164,0.25185268477978556,0.28234547719419406,49.025935258761855,1.7751964668853562,1.6087743098968958
29,Iteration 30,60.675007976924626,21.22296379623785,983.2027752887866,3.9719169354957824,0.60821723181727,0.0,0.0,0.0,5.9462739900772625,6.29105795336784,0.2376315430038442,0.266160658085513,48.034519575044904,1.6983734154271022,1.5990579193597962
30,Iteration 31,55.323020744617764,18.86846942859312,1063.6929050344831,3.994721667680996,0.5797220952391192,0.0,0.0,0.0,5.284792686960719,5.567472119761131,0.19974576097558736,0.2196088667000384,44.93088295280369,1.0453771994980827,1.542312006278344
31,Iteration 32,61.53492792121448,20.945935798972318,1001.0658024439651,3.9018625684881973,0.6008746120452928,0.0,0.0,0.0,6.016849176962107,6.377024127510498,0.24208646255451058,0.2724584099011197,48.42456654456893,1.8087414482463806,1.5974754158371094
32,Iteration 33,54.55863325891808,17.75429996192697,1030.079153564183,4.319029042379025,0.57623613228281,0.0,0.0,0.0,5.2095843723087265,5.479729566113359,0.19564766227063804,0.21427444117298164,44.54460842776885,0.8782282799654374,1.5347904011719329
33,Iteration 34,65.39820741145759,20.799163813409027,1025.1401047264485,3.9366419650652213,0.6407732701833735,0.0,0.0,0.0,6.526577457341645,6.91849988409232,0.2746467408756643,0.31218642540655184,50.74756517529278,2.2649224169108924,1.6278117610420746
34,Iteration 35,58.945656373755014,20.32975532682244,956.9942540718772,3.7715715316557703,0.6005967805586028,0.0,0.0,0.0,5.7271154739163945,6.05401709974618,0.22462709840244702,0.2502426272585724,47.0189660171637,1.403105811706831,1.5732320364929726
35,Iteration 36,65.48515392834989,20.186441190793246,975.6010689743272,4.030725549861664,0.5488686012615751,0.0,0.0,0.0,6.290584259569042,6.728273505110578,0.2602602935093664,0.3001179347309635,50.05385410817627,3.0162342560606885,1.6154675237875262
36,Iteration 37,64.86337474924828,18.588487209623604,894.3647023096443,4.155572210189594,0.582819394077797,0.0,0.0,0.0,6.341415401296305,6.750914397842611,0.2629910368847321,0.30057973300578283,50.08549769849988,2.6288611278109504,1.616266840614961
37,Iteration 38,60.15123667844153,20.616090953080246,1096.9131756913598,4.094672037202513,0.6489285942789729,0.0,0.0,0.0,5.99421900560611,6.314432860816199,0.24009715851236832,0.26680883570479974,48.07504209365696,1.3576978986829444,1.5986394933275472
38,Iteration 39,59.20692742057196,19.39279281251221,1045.384165553923,4.3188249898266955,0.5989545673694858,0.0,0.0,0.0,5.791011433228434,6.115821439515479,0.2282550082134016,0.254085926491617,47.26740726180661,1.3616627199843778,1.583767249046209
39,Iteration 40,59.987628912511106,20.441364166007464,948.5329697491957,4.345699086844863,0.5955748596710755,0.0,0.0,0.0,5.86707382194129,6.203620007460145,0.2328501657171771,0.2601477839472015,47.65579378053951,1.460724565023826,1.5852916452132086
40,Iteration 41,59.90080084110488,18.322406050600385,1022.8436149807758,3.9661185330388333,0.5720432398828718,0.0,0.0,0.0,5.781321159434461,6.130705489667478,0.22806253617541708,0.255875996174581,47.384045268263144,1.7998223553792405,1.5827916447001675
41,Iteration 42,57.07645403403271,20.05859486812711,945.0976181634497,4.16188325626094,0.5951580336106324,0.0,0.0,0.0,5.5285760719144825,5.828076714433191,0.21311730103609144,0.23543507637518768,46.032681906662056,1.1170390839229014,1.5604699727637927
