,#,kVp (kV),th (deg),Air (mm),Al (mm),Cu (mm),Sn (mm),Pb (mm),Be (mm),HVL1 Al (mm),HVL2 Al (mm),HVL1 Cu (mm),HVL2 Cu (mm),Mean energy (keV),Air kerma (uGy),Mean conv. coeff. (Sv/Gy)
0,Iteration 1,60.45236248047164,22.141458075036326,920.5732161231489,4.199464865257838,0.5932904003358291,0.0,0.0,0.0,5.897172612399838,6.24282168470767,0.23475142296427853,0.2630268527950445,47.838340695739156,1.6459527807491015,1.5893171513497113
1,Iteration 2,54.19969064342845,19.273540284391906,1053.4242798178082,3.935128799286372,0.6439901389102662,0.0,0.0,0.0,5.279685357581186,5.52661835265875,0.19903923113469207,0.21629301877750978,44.68336808509471,0.7077321599217508,1.5418411016109876
2,Iteration 3,57.24490348075037,20.081429770830812,1115.0028678702315,3.91108454104045,0.5859563464384919,0.0,0.0,0.0,5.512008744260911,5.819810233876994,0.21230900358442278,0.2351810319501056,46.01681260026841,1.2836220514070336,1.5609112595522134
3,Iteration 4,65.28339094846497,21.259290312571125,1008.1308969362493,3.708201176008394,0.5658348671328025,0.0,0.0,0.0,6.291341549541091,6.722004796020636,0.2601785335926076,0.2993635179947504,50.012099393838504,2.8234796859956166,1.60722545004654
4,Iteration 5,56.81418526954646,20.762055710595533,960.646038551092,3.826275841346982,0.6281653777009844,0.0,0.0,0.0,5.5494296631678734,5.836841077550493,0.21410137773091756,0.23558889613409098,46.04119937400471,0.9940954562642998,1.5631597688144703
5,Iteration 6,57.82759798344687,20.042033357990867,972.8152536894935,4.208529804926706,0.6243219435595087,0.0,0.0,0.0,5.683172399544673,5.981421570801147,0.2217193645586949,0.2447599483202783,46.656713658505964,1.0858736705239314,1.576868124200151
6,Iteration 7,58.43996637699189,19.860997900662213,1020.5585746333492,3.798744935476489,0.6293661709577779,0.0,0.0,0.0,5.740680929936511,6.049185355812751,0.22513533064993946,0.24932531653838352,46.95752245120918,1.2919887998821218,1.5770812447113185
7,Iteration 8,59.56069668871862,19.165480714564502,1067.4825472230411,4.18402400258749,0.5837303452837491,0.0,0.0,0.0,5.785535056446914,6.1227818373756335,0.2281279803272909,0.2549587656178689,47.32444696148812,1.546585395433834,1.5828230870644404
8,Iteration 9,56.21633872483901,22.003178061538122,992.0629838255845,4.2320198133661595,0.6076872103185242,0.0,0.0,0.0,5.455875831199107,5.738744305343634,0.2089158514319645,0.22959866916746385,45.63081435689936,0.9667772673617518,1.5576396185240917
9,Iteration 10,64.59227546937547,19.43129241789715,952.9503159632478,3.9277136067244576,0.6142673648576943,0.0,0.0,0.0,6.378876540973286,6.772719548148693,0.2651055261722317,0.30150588155403657,50.14216171451565,2.3267936329702446,1.6231570443377557
10,Iteration 11,63.754074254215496,21.858123235558303,977.0778327260753,3.8368274228177888,0.5508879433210312,0.0,0.0,0.0,6.102981399394995,6.518561456764898,0.24819496349905684,0.2842588396277878,49.13451274787542,2.5147792620661997,1.5989493816211235
11,Iteration 12,58.96692213221077,21.625791628453406,1011.5128229887694,4.1973789199490215,0.6396406285425247,0.0,0.0,0.0,5.842363802061333,6.150062754965398,0.23097627518966315,0.25569328346001563,47.370418257170456,1.1866328848989296,1.589272670178212
12,Iteration 13,60.087542114418795,21.20987950338135,962.2382258471691,4.244772948950092,0.5620332214333661,0.0,0.0,0.0,5.784975553619431,6.1385047649233355,0.22833388294032886,0.2565256751934773,47.426621097694415,1.7335100175829348,1.5864933974422888
13,Iteration 14,61.26002146539889,20.587442067455207,985.6897848736545,3.8074810164559874,0.6080636910403975,0.0,0.0,0.0,6.000323339326691,6.354783885574145,0.24099730624761517,0.2707443821000026,48.318950929812246,1.7373917645245847,1.6010403630042314
14,Iteration 15,61.14821984136839,19.632505795481485,971.1642980522705,3.802193836705157,0.6283971274571469,0.0,0.0,0.0,6.040766176638604,6.38508072460508,0.2432682264606266,0.2724016475082244,48.42121418064683,1.6678298990546632,1.6001716565959312
15,Iteration 16,59.94337930732118,19.55838305213213,968.7095963562307,3.6807239386021866,0.5763486874603082,0.0,0.0,0.0,5.772552983650227,6.124362537544945,0.22759346577502643,0.25555341498463024,47.36383034702019,1.7992237310642938,1.5869800797973512
16,Iteration 17,57.991910299425335,20.358355724512208,986.3003286905466,4.197257498005347,0.6222360033689456,0.0,0.0,0.0,5.695867767037326,5.997172602346225,0.22248478492415535,0.24584136083269964,46.728490548135206,1.1712171458695178,1.5782146251445144
17,Iteration 18,56.52552243012754,20.161491794256776,1064.1732443082012,3.9230035473442344,0.6338802303923988,0.0,0.0,0.0,5.535503378355566,5.816043822935141,0.21324648730644755,0.23413375545991846,45.94114448048532,0.9921810020454408,1.5625272047509202
18,Iteration 19,61.304513930222136,19.634937955427855,989.6782403487421,3.8185375953587126,0.6025056345562271,0.0,0.0,0.0,5.995090734061274,6.352274510569338,0.24073033086369144,0.2706778667395494,48.314660922855765,1.8778541023532564,1.599251505882094
19,Iteration 20,66.07018128867787,20.964130041610126,1108.9835181805822,4.146122048765057,0.5712411341553842,0.0,0.0,0.0,6.420858099820527,6.85282098760903,0.2684979739405372,0.30905842756284296,50.56067366011416,2.7903288414149956,1.6200694000455178
20,Iteration 21,59.13154077252128,18.9815573887915,938.7413991091848,4.25197322907418,0.6225928981237857,0.0,0.0,0.0,5.833780648625699,6.149133092794902,0.23059108520871938,0.25589209277087155,47.38300722687739,1.215854611530145,1.5830947647530917
21,Iteration 22,60.705720265221935,21.11938216902877,981.3907300449497,4.146895796802012,0.622766705289027,0.0,0.0,0.0,5.99639769728404,6.333599563762574,0.24049216926618325,0.2687003095687702,48.19275313659633,1.519659401269928,1.599798152167926
22,Iteration 23,57.06352944230675,19.35864326458767,951.6756970280912,4.172492637061184,0.6245525638097351,0.0,0.0,0.0,5.594757929779477,5.883194757471206,0.21663102711946278,0.23842690499035482,46.23299405126679,1.0511520372071195,1.5704147860782895
23,Iteration 24,65.77630090473251,19.47834954426389,1091.5629917647334,4.039780960536156,0.6046688207901889,0.0,0.0,0.0,6.482847076255245,6.895085749630805,0.2721584317047369,0.31133418860446077,50.69322036337969,2.5981149442291485,1.626084069977098
24,Iteration 25,59.2278442996266,19.89142962738459,876.9456030790367,4.262478605793602,0.5860825079744212,0.0,0.0,0.0,5.756371967224388,6.08752776067809,0.22635519025324993,0.252499705777921,47.16562165557888,1.528023479947473,1.5815141436826299
25,Iteration 26,61.36459806948909,20.870030373797263,978.4605264304764,4.30475722829541,0.6261760911842275,0.0,0.0,0.0,6.087335317293335,6.42990069280549,0.24605364479766817,0.2753617452294584,48.6032492406827,1.604950600487914,1.605458159811173
26,Iteration 27,59.35179050159612,21.46667593094777,944.8101536688263,3.6820144032603035,0.5487526515744987,0.0,0.0,0.0,5.630380791153424,5.986565415642534,0.21955734558286663,0.24695601756620097,46.80871318952441,1.75245330103295,1.5699292268790008
27,Iteration 28,60.01814429853588,20.190916268232908,1031.419410336283,4.338189344807335,0.6462782454781364,0.0,0.0,0.0,5.988890532279057,6.3059052125304484,0.2397326311642704,0.2661328180369759,48.03279609242402,1.2321941265650955,1.6006663398162522
28,Iteration 29,57.525223996700646,19.303616745975486,1017.4879687318073,4.165052132028953,0.5959319427984292,0.0,0.0,0.0,5.584547673616634,5.889623939746921,0.21629091925807242,0.2393392442088404,46.296553693937334,1.2201003052769874,1.5715973823837766
